Parameter,Value,Error_Lower,Error_Upper,Fit_Type,Bootstrap_Index
A,9953.149266107013,95.87019009760351,95.76409987801983,cov,0
mu,0.19671227190658563,0.009103341987078852,0.009114242768853066,cov,0
var,0.8179539573854091,0.010625839417091193,0.010680939804649004,cov,0
A,9923.097515287469,99.76972973079614,99.77518825818935,cov_diag,0
mu,0.19446969421570087,0.00908523122715989,0.009082740090515717,cov_diag,0
var,0.8159328733216822,0.011807632913706508,0.011837103880911597,cov_diag,0
A,10005.789413813434,95.37676298260651,96.25850304340649,cov,1
mu,0.18926431309194533,0.009029532217093478,0.009074545882803436,cov,1
var,0.8173404671581532,0.010567666788574355,0.010596813503488107,cov,1
A,10027.766617446458,99.73500664926753,99.81011567098574,cov_diag,1
mu,0.18588630296806935,0.008992531232405203,0.008992802149339237,cov_diag,1
var,0.8156044305194808,0.011678616802074977,0.011705161312062673,cov_diag,1
A,9836.875153521494,95.84543340816049,95.79682719437287,cov,2
mu,0.18918090256630918,0.009220123504660135,0.009148330803470732,cov,2
var,0.7893030013896597,0.010879894230369095,0.010856086738212548,cov,2
A,9832.04077849886,99.99192039076196,99.55428914118616,cov_diag,2
mu,0.18940475570126716,0.009137770121718672,0.009158807062667952,cov_diag,2
var,0.7918770918016642,0.01207526242810284,0.012156429763723702,cov_diag,2
A,9946.065417887681,95.71955079063052,95.91676623621282,cov,3
mu,0.21156797870013386,0.009097522870591549,0.009096074728997625,cov,3
var,0.8041243773808765,0.01083155280808157,0.0108831209585198,cov,3
A,9962.278305167172,100.00994577849028,99.54808528016484,cov_diag,3
mu,0.2154456321324715,0.009103549531856957,0.00898309892745894,cov_diag,3
var,0.8016315371340437,0.012160958482374213,0.012027337410274107,cov_diag,3
A,9911.43732236306,96.0459537612361,95.58924031491152,cov,4
mu,0.17978014479773405,0.009113312029873281,0.009171117649611146,cov,4
var,0.8153564806237484,0.010773826422736726,0.010758638433894845,cov,4
A,9900.722642759618,99.50401570139796,100.04354475185642,cov_diag,4
mu,0.18083530426493202,0.009096678727516945,0.00912417915591784,cov_diag,4
var,0.8154046167900642,0.011998306287221228,0.012023834018164802,cov_diag,4
A,10020.327912080633,95.83005012704683,95.81112307994303,cov,5
mu,0.18827598072943347,0.009028900266804462,0.00903843716007394,cov,5
var,0.8065221158721176,0.010648511605766135,0.010628706081459556,cov,5
A,10000.642168400365,99.81505180658107,99.73666672115738,cov_diag,5
mu,0.1931531760803803,0.009009670250105663,0.009003686332140557,cov_diag,5
var,0.8055201404898845,0.011737041873409433,0.011966573727273947,cov_diag,5
A,9832.740912021023,95.93675798748804,95.68641330171826,cov,6
mu,0.2039355850845227,0.009195199246685713,0.009218137904251635,cov,6
var,0.8172505290089184,0.010675402978909109,0.010713746190704764,cov,6
A,9837.52065649807,99.59986741784955,99.94972262644505,cov_diag,6
mu,0.20355669842025984,0.009183985911149896,0.009148459254711644,cov_diag,6
var,0.8197169217255408,0.011922131594892492,0.011811476159596693,cov_diag,6
A,10091.149138640347,95.8238170883224,95.80962622659837,cov,7
mu,0.18854857231244845,0.008963235701839534,0.008961269814534139,cov,7
var,0.8069304647080814,0.01056450230432572,0.010652866049652843,cov,7
A,10104.160659352847,99.8650943181551,99.68253271230219,cov_diag,7
mu,0.18594965667419047,0.008920146404994877,0.00892271844283356,cov_diag,7
var,0.806017308620016,0.011822316275240559,0.011972961692564418,cov_diag,7
A,9866.39357321579,95.8550194427547,95.80552907401041,cov,8
mu,0.17809428418860337,0.009206825554390506,0.009195208087055389,cov,8
var,0.8277106410971136,0.010991483569362614,0.011033071304161155,cov,8
A,9860.571637879451,99.82151852902447,99.72376267167438,cov_diag,8
mu,0.17690612776194248,0.009148954686788975,0.009145795226932778,cov_diag,8
var,0.8293724077694777,0.012293376679733676,0.012332133552574273,cov_diag,8
A,10037.99862403565,95.86416838353914,95.77775541693995,cov,9
mu,0.1969936712884721,0.009030380527782508,0.009015775682025428,cov,9
var,0.8138108933841995,0.010716068032629991,0.01074276597679197,cov,9
A,9998.04171592296,99.69992295642102,99.84539900948775,cov_diag,9
mu,0.19205209295058576,0.009020731851121254,0.009007449673365696,cov_diag,9
var,0.8141356158671271,0.012053032341587205,0.01207835476892927,cov_diag,9
A,9855.268936409748,95.95462631866019,95.67665751439776,cov,10
mu,0.18188317453951436,0.009191570246914976,0.009166454186222342,cov,10
var,0.804863683735505,0.010811976229298045,0.010792095913546382,cov,10
A,9841.910373719784,100.48644567403753,99.06492679403169,cov_diag,10
mu,0.18828596712136123,0.009171772912718926,0.009149698321448829,cov_diag,10
var,0.8052005138748747,0.01202497078114455,0.012146948354435196,cov_diag,10
A,10086.708580195685,95.81930652096264,95.81387985938998,cov,11
mu,0.19802931630715634,0.008963511901296212,0.008959331230654316,cov,11
var,0.8074205624687294,0.010594962865345862,0.010633889678774662,cov,11
A,10116.806322240964,99.97657999066877,99.57356058368858,cov_diag,11
mu,0.20016544673223333,0.00893866845138178,0.008878608429870878,cov_diag,11
var,0.8096343052420573,0.011807958509302751,0.011717053677571063,cov_diag,11
A,9974.848654812718,95.8054667464683,95.83823983208713,cov,12
mu,0.19106114192526738,0.009092783663270885,0.009090153167543188,cov,12
var,0.8203391391626514,0.01072444926847164,0.010768187045555393,cov,12
A,9956.423696599335,99.93438234159619,99.61120274237943,cov_diag,12
mu,0.19230425512819774,0.009044075020512196,0.009068660840637167,cov_diag,12
var,0.8217063714193907,0.011943947260079026,0.012002964907817345,cov_diag,12
A,10160.268293813986,95.75646454878941,95.87924541912378,cov,13
mu,0.19156741536512017,0.008911521488873978,0.008905272446238515,cov,13
var,0.8054922108166845,0.010377037690753195,0.01040744700960783,cov,13
A,10153.58897187594,99.7198900951729,99.82523733355276,cov_diag,13
mu,0.19010757232811956,0.008872288604919957,0.008866920160966792,cov_diag,13
var,0.805321216747093,0.011520415963546967,0.011560598541984405,cov_diag,13
A,9849.400369247967,95.98308423542886,95.66580390979017,cov,14
mu,0.20337746755443556,0.00923091576882653,0.00924582884326966,cov,14
var,0.8226680123866824,0.010945750602247997,0.010994105371105766,cov,14
A,9847.137577446438,99.78906388070577,99.75445779552041,cov_diag,14
mu,0.20335932552807484,0.009158813712423122,0.009178056438129599,cov_diag,14
var,0.8212160242102611,0.012144471717862662,0.012163627926736066,cov_diag,14
A,10206.65751835315,95.82011936282574,95.80903152073455,cov,15
mu,0.1819202250761898,0.008885631986830232,0.008877590893777494,cov,15
var,0.8197355249239154,0.0103220019262838,0.010363659835305964,cov,15
A,10217.710509487804,99.45009480861113,100.09834402626369,cov_diag,15
mu,0.1810391319555667,0.008812772990351178,0.008842914683011,cov_diag,15
var,0.8206008802715995,0.011461434430161628,0.011460883855811062,cov_diag,15
A,10093.214682434987,95.86520531297892,95.77571890659006,cov,16
mu,0.21343502533834793,0.008987826734923886,0.008963465394036016,cov,16
var,0.815526095846762,0.010711775701015842,0.010816008505151568,cov,16
A,10065.613286873702,99.7978751358842,99.74715734373967,cov_diag,16
mu,0.2145658132491467,0.008959197515969622,0.008958247684740834,cov_diag,16
var,0.8141041408596472,0.012008385142043028,0.012048780116845348,cov_diag,16
A,9936.209020217162,95.87409778831316,95.75354476144149,cov,17
mu,0.21895543806628973,0.009088596392876161,0.009096875316585418,cov,17
var,0.8088415154928671,0.010684724798945694,0.010736923410306212,cov,17
A,9968.14342493346,99.8004805032699,99.74462340281326,cov_diag,17
mu,0.21642377251706754,0.009038973216990792,0.009039068988357655,cov_diag,17
var,0.8072341266195779,0.01187748222034872,0.011919663077765714,cov_diag,17
A,10014.520187232465,95.64868083908901,95.98232646797167,cov,18
mu,0.21244334694772588,0.008989853574700252,0.00908992245610961,cov,18
var,0.8179354246075313,0.010617636967758184,0.010622853011495478,cov,18
A,10013.660921865745,99.80306805132686,99.74192923207883,cov_diag,18
mu,0.213919771158122,0.009014912123473301,0.008995627196579571,cov_diag,18
var,0.8178123160681929,0.011794395324752236,0.011848129503014832,cov_diag,18
A,10032.072336775449,95.75569833751862,95.8783362731445,cov,19
mu,0.20349927094484016,0.009034332109295419,0.00903061819114403,cov,19
var,0.811969547821225,0.010588956428637594,0.010627288725513901,cov,19
A,10008.16408443224,99.72745822707252,99.81774043407671,cov_diag,19
mu,0.19898769542854086,0.009010457621632242,0.009004048769705324,cov_diag,19
var,0.8129271796460397,0.011783703305913933,0.011819441900605817,cov_diag,19
A,9967.818772043529,95.81375877369632,95.81608154976489,cov,20
mu,0.1990694359929197,0.009059337429183847,0.009053755558242154,cov,20
var,0.7970076965595964,0.010571005768030963,0.01061370470283328,cov,20
A,9988.877550568592,99.83334450950063,99.71107872438176,cov_diag,20
mu,0.19597220201209276,0.009000831307156183,0.009021100186377308,cov_diag,20
var,0.7970447555858163,0.011744282532052334,0.011795412726427186,cov_diag,20
A,9983.936119907641,95.77758293245466,95.8648506599059,cov,21
mu,0.19266947173937427,0.00907970477164077,0.009059500515477747,cov,21
var,0.8074772785912392,0.010721189122286904,0.010743815092399512,cov,21
A,9966.792882837288,99.63131395803093,99.92518217687669,cov_diag,21
mu,0.19372850080643508,0.0090629945484509,0.009011292380555353,cov_diag,21
var,0.8051404749638523,0.011855349672502754,0.012127865067500217,cov_diag,21
A,9977.802083927127,95.81827629851018,95.8033674589596,cov,22
mu,0.2064934456590334,0.009071060449639592,0.00907795923816587,cov,22
var,0.8171517047400338,0.010503264544317338,0.010550430084396656,cov,22
A,9924.509114403914,99.7475543187694,99.79744862565192,cov_diag,22
mu,0.20671504619815095,0.009086886223213098,0.00908110110868288,cov_diag,22
var,0.8157697711051416,0.011701502418593314,0.01171630563801948,cov_diag,22
A,10108.195864671048,95.81948689053067,95.81869090889721,cov,23
mu,0.20504203209913235,0.008962173217314484,0.008958192320631884,cov,23
var,0.8135714305375804,0.01062653037941601,0.010665439755878555,cov,23
A,10091.089181601068,99.77452717984089,99.77067677344044,cov_diag,23
mu,0.20624433586411048,0.008929821700365034,0.0089352333003134,cov_diag,23
var,0.8118586593469566,0.011881673440905629,0.01190998148170871,cov_diag,23
A,10093.0156164904,95.76293834751279,95.8677918915698,cov,24
mu,0.20126973694340658,0.008936146994361228,0.00893808400925565,cov,24
var,0.7917299176563793,0.010472508021873965,0.01048856751325844,cov,24
A,10109.439513857855,99.08760838846433,100.47020459029883,cov_diag,24
mu,0.2021939191556931,0.008928573259921366,0.00887121500430302,cov_diag,24
var,0.7929300373568668,0.01152479914680363,0.011773981642517972,cov_diag,24
A,10015.872986546809,96.02331793834453,95.61461162509957,cov,25
mu,0.2052753098707711,0.00899146438694683,0.009051728030585685,cov,25
var,0.7955624888956984,0.010688965927213582,0.01076093792302349,cov,25
A,9989.072671548265,99.78555616904465,99.76096453723157,cov_diag,25
mu,0.20543895456693234,0.009010280100959937,0.009020352944294678,cov_diag,25
var,0.797711948143874,0.011910932119575283,0.011966548510375324,cov_diag,25
A,9939.171231629947,95.81606071836593,95.82190582964985,cov,26
mu,0.1984766234823993,0.009095092405315391,0.00908943801227079,cov,26
var,0.8018795198524765,0.010827158673916752,0.01087197442458103,cov,26
A,9936.103807228594,99.77105325609672,99.77410479929073,cov_diag,26
mu,0.20565846581011185,0.009060462802397038,0.009066558835319129,cov_diag,26
var,0.8021625688090442,0.012065678497766673,0.012114792917379826,cov_diag,26
A,10081.225874105914,95.8164793183065,95.8165299415075,cov,27
mu,0.21642491811202078,0.008920037851167033,0.008958911648384334,cov,27
var,0.7912789542097669,0.01063692631039042,0.010567032188095123,cov,27
A,10096.876212056506,99.91908592366624,99.62518196860336,cov_diag,27
mu,0.2174037961648297,0.008892683310252237,0.008923412823868455,cov_diag,27
var,0.7891837367333078,0.011731312902088035,0.01179195636419082,cov_diag,27
A,10057.436605515855,95.96988416242642,95.67134358859454,cov,28
mu,0.19006272935044935,0.009000118096197888,0.008989880367983216,cov,28
var,0.8056569388060019,0.010570291415318527,0.01071402441943434,cov,28
A,9985.465302279372,99.94526225826844,99.60076754206244,cov_diag,28
mu,0.18792063301449408,0.009021892039023602,0.009027150500165476,cov_diag,28
var,0.8096721530436762,0.011910863956808149,0.011950879507210011,cov_diag,28
A,10103.55125695659,95.84700339896803,95.77894917193132,cov,29
mu,0.21115737678858487,0.008965714865428605,0.008975521882106775,cov,29
var,0.8206678390841661,0.01049209500539148,0.010528950076766087,cov,29
A,10105.081334235201,99.79018075933023,99.75395912240381,cov_diag,29
mu,0.21106434667704244,0.008929432256551337,0.008924120475546483,cov_diag,29
var,0.819813685974218,0.011642911182112522,0.011685743400163364,cov_diag,29
A,10016.373264631242,96.1807191905494,95.46192705468928,cov,30
mu,0.19724546536557055,0.009073072842816927,0.008979696207428655,cov,30
var,0.8034574360913099,0.010674381391380947,0.010709972633367558,cov,30
A,10008.66749040743,99.83005629894596,99.71509602920491,cov_diag,30
mu,0.19630184124387257,0.008988406185441515,0.00899900639782771,cov_diag,30
var,0.7985023283136384,0.01190363171075261,0.011934607848119057,cov_diag,30
A,9907.780403975921,95.73662150420155,95.9002521751176,cov,31
mu,0.18863499603998787,0.009160072133280045,0.009146057347007056,cov,31
var,0.817877193858263,0.010646034704641845,0.010644190298185462,cov,31
A,9919.185850288415,99.566788640872,99.97958385742498,cov_diag,31
mu,0.18771428778543214,0.009085540519505523,0.00908812054582097,cov_diag,31
var,0.8173657914531389,0.011814757803672032,0.011822973723408622,cov_diag,31
A,10140.327853928495,96.58284619799014,95.05793448933288,cov,32
mu,0.20432341224517422,0.008826748865507278,0.008964820746768723,cov,32
var,0.7938184879004756,0.010375094317429397,0.010405330083485206,cov,32
A,10126.372904369073,99.18859521387553,100.36553531475842,cov_diag,32
mu,0.20194549916265148,0.008918898028306685,0.00885445447792164,cov_diag,32
var,0.7942170308497639,0.011544912262673164,0.011756506244816651,cov_diag,32
A,10176.298944591943,95.86772324397568,95.7658589715081,cov,33
mu,0.2119311423874699,0.008884397126889036,0.008873784326396648,cov,33
var,0.8105997389450696,0.0105342185289195,0.010585829522788477,cov,33
A,10165.150996299362,99.8196757513671,99.72553299180568,cov_diag,33
mu,0.21679932361501308,0.00887005066213791,0.008865304016415249,cov_diag,33
var,0.8135075769908351,0.011750618009844546,0.011795953052171442,cov_diag,33
A,9892.15541063027,95.716935043218,95.92593293609234,cov,34
mu,0.2003765112056633,0.009150008531903977,0.0091836878090823,cov,34
var,0.8228079171935402,0.010888983197918135,0.01090106563562514,cov,34
A,9910.76113914758,99.81455921468508,99.72947989290861,cov_diag,34
