Parameter,Value,Error,Fit_Type,Bootstrap_Index
mu,0.19712201122965656,0.010728814424287532,cov,0
var,0.823534810223264,0.014804960781503774,cov,0
mu,0.20179438276993106,0.013910556784685295,cov_diag,0
var,0.8146299306316134,0.017167187476348468,cov_diag,0
mu,0.18048301584849594,0.010602292456863843,cov,1
var,0.8177216990955672,0.014852680050858649,cov,1
mu,0.18545420482691555,0.013965042100434248,cov_diag,1
var,0.7928992554669624,0.017292700374617963,cov_diag,1
mu,0.1967774211196425,0.010789597459064739,cov,2
var,0.7844488051166083,0.014634870050629899,cov,2
mu,0.20134423771790608,0.014061615898650761,cov_diag,2
var,0.7765867178690607,0.017747660482630784,cov_diag,2
mu,0.21346341669027108,0.010528745997506193,cov,3
var,0.7859237543441051,0.014754150026397968,cov,3
mu,0.21525212534470387,0.013819568305616928,cov_diag,3
var,0.7704699371278582,0.017875002867093853,cov_diag,3
mu,0.1813402943459914,0.01073467960553463,cov,4
var,0.8183767318895147,0.014945676343238418,cov,4
mu,0.18557124646554482,0.014182928777720179,cov_diag,4
var,0.7976658872486222,0.017327237213757396,cov_diag,4
mu,0.20033109150614692,0.010480418919461795,cov,5
var,0.79787310418047,0.014641519105804787,cov,5
mu,0.20353090912150018,0.013896826515196501,cov_diag,5
var,0.7803798646078045,0.017292638340486083,cov_diag,5
mu,0.21083854005662714,0.010771358053949763,cov,6
var,0.8259925361103113,0.015220757636087792,cov,6
mu,0.21549387352471586,0.014155478173998303,cov_diag,6
var,0.8149068593457035,0.017941724225862394,cov_diag,6
mu,0.18997076905730215,0.010509341649769082,cov,7
var,0.8114829675028563,0.014873866723280747,cov,7
mu,0.19247580282905502,0.013817402558535592,cov_diag,7
var,0.7834653165885225,0.017543154927023682,cov_diag,7
mu,0.19337174349538783,0.010810527286744611,cov,8
var,0.8353327362155054,0.0153221385942117,cov,8
mu,0.1976284438876145,0.014156314681905197,cov_diag,8
var,0.8140482155632354,0.0176997204525438,cov_diag,8
mu,0.18972487566433555,0.010622849291242657,cov,9
var,0.8126510318612191,0.014962150493938307,cov,9
mu,0.19338762481705107,0.013951161025435217,cov_diag,9
var,0.791525328774684,0.017535582172563513,cov_diag,9
mu,0.19915261814809646,0.010721673973280227,cov,10
var,0.8055526752008336,0.014968859716779007,cov,10
mu,0.20326236653196278,0.014185557630033348,cov_diag,10
var,0.7884006445184202,0.017725034268813413,cov_diag,10
mu,0.20455135127104504,0.010540856847802815,cov,11
var,0.8140131457905783,0.01461422653399371,cov,11
mu,0.20566734234549836,0.013756417065722244,cov_diag,11
var,0.7862050641211571,0.017272885626178583,cov_diag,11
mu,0.19422341923200606,0.010660791286982137,cov,12
var,0.8283712637475218,0.015092183419474036,cov,12
mu,0.20303411061542223,0.014007282071966264,cov_diag,12
var,0.7990344197011441,0.01732115450912453,cov_diag,12
mu,0.20161250370554556,0.010430950018389326,cov,13
var,0.7936229731732649,0.014480379063955672,cov,13
mu,0.203215346605229,0.01356814237263069,cov_diag,13
var,0.7849855702555908,0.017273143963606213,cov_diag,13
mu,0.21163668053698734,0.010754445920486726,cov,14
var,0.8147258623206501,0.015097321163078619,cov,14
mu,0.2109979003590235,0.013984227019508822,cov_diag,14
var,0.8353068352555715,0.018335942323499676,cov_diag,14
mu,0.18064992985398642,0.010394946194832522,cov,15
var,0.8028369663462568,0.014459909969608756,cov,15
mu,0.1873365289862406,0.013619736498051645,cov_diag,15
var,0.7813688423791942,0.016863088215463035,cov_diag,15
mu,0.20928124111869886,0.010498070453541095,cov,16
var,0.8065026309639475,0.014726917012622666,cov,16
mu,0.21453039489613449,0.01381501776124588,cov_diag,16
var,0.7854991867584457,0.01746457975496857,cov_diag,16
mu,0.21540584002526883,0.010611229941043368,cov,17
var,0.8091877138018196,0.015043677579076457,cov,17
mu,0.2192585886415524,0.013939140649885712,cov_diag,17
var,0.7942339804745715,0.018061915986245798,cov_diag,17
mu,0.2239663270673284,0.010532295961134227,cov,18
var,0.8040009831805403,0.014585013754660469,cov,18
mu,0.22846760923655765,0.013846413919178128,cov_diag,18
var,0.7920343557063317,0.0174290324206114,cov_diag,18
mu,0.1983665770004888,0.010566124302697032,cov,19
var,0.7987170353790621,0.014783643095481202,cov,19
mu,0.2003440726805074,0.013834651409173178,cov_diag,19
var,0.7807266216212131,0.017480358472364798,cov_diag,19
mu,0.19368586822021425,0.010599075017470011,cov,20
var,0.7979757812466046,0.014637356423692191,cov,20
mu,0.19456333615531074,0.013908848924491552,cov_diag,20
var,0.7878675450914695,0.017454246056364774,cov_diag,20
mu,0.19761026150351557,0.010565685216130428,cov,21
var,0.8012894506632315,0.014847347371923083,cov,21
mu,0.19726052227623056,0.01391711528379121,cov_diag,21
var,0.8022473648473872,0.018102768057239083,cov_diag,21
mu,0.206819177120996,0.01069373473303777,cov,22
var,0.8382507891128813,0.015208025373731912,cov,22
mu,0.21302836655129787,0.014090265713979297,cov_diag,22
var,0.8077318064258265,0.01753096525533182,cov_diag,22
mu,0.21653281669995525,0.010437700673350307,cov,23
var,0.8131487207956531,0.014754347313721893,cov,23
mu,0.22196403866852504,0.013691058507618085,cov_diag,23
var,0.795851980322194,0.017364752499842918,cov_diag,23
mu,0.21206542071298065,0.010422862462827497,cov,24
var,0.7881254988738213,0.01438591461651127,cov,24
mu,0.2185496424169445,0.013604539195695672,cov_diag,24
var,0.7744833535593058,0.01707738276705014,cov_diag,24
mu,0.2177727027665774,0.010591568208735972,cov,25
var,0.7992513348645972,0.014857417498733956,cov,25
mu,0.2218426218620528,0.013879881441399159,cov_diag,25
var,0.7861356031004455,0.017819873276865454,cov_diag,25
mu,0.21299710048840528,0.01064829575534702,cov,26
var,0.8029836360192579,0.014867342140971757,cov,26
mu,0.2140760390926584,0.014019949946007136,cov_diag,26
var,0.7840494320076382,0.017784719402669298,cov_diag,26
mu,0.2246045248299079,0.010396894613937814,cov,27
var,0.7821915026669789,0.014365943779821751,cov,27
mu,0.2243957883874462,0.013604750915961406,cov_diag,27
var,0.7807351149382264,0.01773446301764589,cov_diag,27
mu,0.19218159697521847,0.010607012997964977,cov,28
var,0.8079085594990595,0.014751979035025635,cov,28
mu,0.19695028721022168,0.013946441768024266,cov_diag,28
